Location,Education High Rate,Employment Rate
"Marmora and Lake, ON",0.454761905,0.856716418
"Marten Falls 65, ON",0.166666667,0.692307692
"Matachewan 72, ON",0.375,1
"Matachewan, ON",0.275862069,0.916666667
"Mattagami 71, ON",0.526315789,1
"Mattawa, ON",0.456521739,0.827338129
"Mattawan, ON",0.5,1
"Mattice-Val Côté, ON",0.416666667,0.9
"McDougall, ON",0.715827338,0.903780069
"McGarry, ON",0.474576271,0.914893617
"McKellar, ON",0.545454545,0.909090909
"McMurrich/Monteith, ON",0.516483516,0.893333333
"McNab/Braeside, ON",0.640099626,0.905172414
"Meaford, ON",0.620241411,0.897674419
"Melancthon, ON",0.489096573,0.922636103
"Merrickville-Wolford, ON",0.671009772,0.924290221
"Middlesex Centre, ON",0.771653543,0.923421183
"Midland, ON",0.559273965,0.872394188
"Milton, ON",0.772126723,0.886302533
"Minden Hills, ON",0.580029369,0.887043189
"Minto, ON",0.451205511,0.945220193
"Mississagi River 8, ON",0.510204082,0.885714286
"Mississauga, ON",0.728610563,0.860281924
"Mississaugas of Scugog Island, ON",0.357142857,0.75
"Mississippi Mills, ON",0.697945205,0.924170616
"Mono, ON",0.67761807,0.898843931
"Montague, ON",0.598591549,0.921760391
"Moonbeam, ON",0.526717557,0.855670103
"Moose Factory 68, ON",,
"Moose Point 79, ON",0.428571429,0.785714286
"Moosonee, ON",0.578947368,0.915492958
"Moravian 47, ON",0.470588235,0.916666667
"Morley, ON",0.514285714,0.894736842
"Morris-Turnberry, ON",0.510769231,0.952254642
"Mulmur, ON",0.659949622,0.900744417
"Munsee-Delaware Nation 1, ON",0.384615385,0.818181818
"Muskoka Lakes, ON",0.62372449,0.900990099
"Muskrat Dam Lake, ON",,
"Nairn and Hyman, ON",0.645833333,0.948717949
"Naiscoutaing 17A, ON",,
"Neebing, ON",0.657142857,0.905982906
"Neguaguon Lake 25D, ON",0.25,0.846153846
"Neskantaga, ON",0.260869565,0.888888889
"New Credit (Part) 40A, ON",0.625,0.854166667
"New Post 69A, ON",0.416666667,1
"New Tecumseth, ON",0.579265659,0.904106644
"Newbury, ON",0.41509434,0.934782609
"Newmarket, ON",0.71394331,0.876820641
"Neyaashiinigmiing 27, ON",0.508196721,0.80952381
"Niagara Falls, ON",0.599651604,0.774501301
"Niagara-on-the-Lake, ON",0.719557196,0.850422195
"Nipigon, ON",0.583941606,0.856060606
"Nipissing 10, ON",0.650273224,0.834482759
"Nipissing, ON",0.501431174,0.922115488
"Norfolk County, ON",0.549961744,0.898149613
"North Algona Wilberforce, ON",0.597597598,0.879194631
"North Bay, ON",0.659352919,0.880235988
"North Dumfries, ON",0.698455949,0.925895087
"North Dundas, ON",0.612176814,0.929589271
"North Frontenac, ON",0.570135747,0.886363636
"North Glengarry, ON",0.531468531,0.923762376
"North Grenville, ON",0.689397975,0.92376919
"North Huron, ON",0.509803922,0.918714556
"North Kawartha, ON",0.601398601,0.865217391
"North Middlesex, ON",0.616504854,0.932846715
"North Perth, ON",0.495062541,0.943030303
"North Spirit Lake, ON",0.16,1
"North Stormont, ON",0.604010025,0.941028858
"Northeastern Manitoulin and the Islands, ON",0.602272727,0.900793651
"Northern Bruce Peninsula, ON",0.599483204,0.884831461
"Northwest Angle 33B, ON",0.333333333,1
"Norwich, ON",0.554285714,0.93304721
"O'Connor, ON",0.65060241,0.930232558
"Oakville, ON",0.835045073,0.882989531
"Obadjiwan 15E, ON",,
"Oil Springs, ON",0.547945205,0.955882353
"Ojibway Nation of Saugeen (Savant Lake), ON",0.375,0.714285714
"Oliver Paipoonge, ON",0.700996678,0.920133111
"Oneida 41, ON",,
"Opasatika, ON",0.47826087,1
"Orangeville, ON",0.602262305,0.892303103
"Orillia, ON",0.570607802,0.848504342
"Oro-Medonte, ON",0.68677686,0.890879479
"Oshawa, ON",0.607027571,0.848086808
"Osnaburgh 63A, ON",0.117647059,0.727272727
"Osnaburgh 63B, ON",0.146341463,0.714285714
"Otonabee-South Monaghan, ON",0.667590028,0.908440629
"Ottawa, ON",0.768279327,0.896642636
"Owen Sound, ON",0.542243437,0.888605008
"Papineau-Cameron, ON",0.490196078,0.875
"Parry Island First Nation, ON",0.552631579,0.821428571
"Parry Sound, ON",0.531826991,0.917613663
"Pays Plat 51, ON",0.454545455,0.777777778
"Peawanuck, ON",0.454545455,0.724137931
"Pelee, ON",0.740740741,0.807692308
"Pelham, ON",0.749415888,0.914466131
"Pembroke, ON",0.533619456,0.875811688
"Penetanguishene, ON",0.552747253,0.884758364
"Perry, ON",0.480769231,0.912133891
"Perth East, ON",0.449873631,0.960926194
"Perth South, ON",0.616966581,0.92699115
"Perth, ON",0.576146789,0.870905588
"Petawawa, ON",0.587423313,0.936675462
"Peterborough, ON",0.638529196,0.853306563
"Petrolia, ON",0.684684685,0.909255898
"Pic Mobert North, ON",0.133333333,0.666666667
"Pic Mobert South, ON",0.416666667,0.818181818
"Pic River 50, ON",0.540540541,0.870967742
"Pickering, ON",0.710891272,0.87133414
"Pickle Lake, ON",0.470588235,0.9
"Pikangikum 14, ON",,
"Pikwakanagan (Golden Lake 39), ON",0.425531915,0.897435897
"Plummer Additional, ON",0.541666667,0.875
"Plympton-Wyoming, ON",0.712345679,0.925245098
"Point Edward, ON",0.698412698,0.873626374
"Point Grondine 3, ON",,
"Poplar Hill, ON",0.1,0.935483871
"Port Colborne, ON",0.548451548,0.872597474
"Port Hope, ON",0.60023175,0.889092017
"Powassan, ON",0.636065574,0.897106109
"Prescott, ON",0.544776119,0.876106195
"Prince Edward County, ON",0.640131309,0.908370044
"Prince, ON",0.730769231,0.88
"Puslinch, ON",0.71182266,0.907239819
"Quinte West, ON",0.564849236,0.890937711
"Rainy Lake 17A, ON",0.4,0.75
"Rainy Lake 17B, ON",,
"Rainy Lake 18C, ON",0.583333333,0.75
"Rainy Lake 26A, ON",0.533333333,0.846153846
"Rainy River, ON",0.517101449,0.883834929
"Ramara, ON",0.588846881,0.858527132
"Rankin Location 15D, ON",,
"Rat Portage 38A, ON",0.466666667,1
"Red Lake, ON",0.561363636,0.949308756
"Red Rock 53, ON",,
"Red Rock, ON",0.610526316,0.925925926
"Renfrew, ON",0.488250653,0.894345238
"Richmond Hill, ON",0.794320487,0.86913661
"Rideau Lakes, ON",0.64952381,0.909547739
"Rocky Bay 1, ON",0.357142857,0.636363636
"Russell, ON",0.716859122,0.946226841
"Ryerson, ON",0.518987342,0.935483871
"Sabaskong Bay 35D, ON",0.485714286,0.903225806
"Sables-Spanish Rivers, ON",0.515923567,0.893382353
"Sachigo Lake 1, ON",0.22,0.954545455
"Sagamok, ON",0.446601942,0.865671642
"Sand Point First Nation, ON",,
"Sandy Lake 88, ON",0.163841808,0.792
"Sarnia 45, ON",0.492537313,0.816326531
"Sarnia, ON",0.654048808,0.870460048
"Saug-A-Gaw-Sing 1, ON",0.583333333,1
"Saugeen 29, ON",0.45,0.827586207
"Saugeen Shores, ON",0.749056604,0.919836957
"Sault Ste. Marie, ON",0.636755105,0.870069256
"Schreiber, ON",0.486486486,0.904255319
"Scugog, ON",0.640146319,0.915044248
"Seguin, ON",0.604081633,0.93220339
"Seine River 23A, ON",0.3,0.611111111
"Selwyn, ON",0.670731707,0.894444444
"Serpent River 7, ON",0.529411765,0.791666667
"Severn, ON",0.61442623,0.894983278
"Shawanaga 17, ON",0.444444444,0.846153846
"Sheguiandah 24, ON",0.428571429,0.818181818
"Shelburne, ON",0.55982906,0.899791232
"Sheshegwaning 20, ON",0.538461538,1
"Shoal Lake (Part) 40, ON",0.166666667,0.8
"Shoal Lake 34B2, ON",0,1
"Shoal Lake 39A, ON",0.404761905,0.838709677
"Shuniah, ON",0.680597015,0.914826498
"Sioux Lookout, ON",0.613953488,0.942942943
"Sioux Narrows-Nestor Falls, ON",0.282608696,0.794871795
"Six Nations (Part) 40, ON",,
"Slate Falls, ON",0.192307692,1
"Smiths Falls, ON",0.469478357,0.899002494
"Smooth Rock Falls, ON",0.603773585,0.913580247
"South Algonquin, ON",0.381355932,0.769230769
"South Bruce Peninsula, ON",0.563593932,0.906519065
"South Bruce, ON",0.52027027,0.938906752
"South Dundas, ON",0.549815498,0.898832685
"South Frontenac, ON",0.658763366,0.909901455
"South Glengarry, ON",0.642964072,0.914141414
"South Huron, ON",0.552688172,0.920863309
"South River, ON",0.396551724,0.835164835
"South Stormont, ON",0.640369581,0.932374101
"South-West Oxford, ON",0.534391534,0.921375921
"Southgate, ON",0.45785877,0.922363847
"Southwest Middlesex, ON",0.568106312,0.902356902
"Southwold, ON",0.691532258,0.881801126
"Spanish, ON",0.36,0.820512821
"Springwater, ON",0.688947138,0.900411523
"St. Catharines, ON",0.622183958,0.841626937
"St. Clair, ON",0.666666667,0.912642045
"St. Joseph, ON",0.620967742,0.876033058
"St. Marys, ON",0.600276625,0.899182561
"St. Thomas, ON",0.576852278,0.887675885
"St.-Charles, ON",0.503597122,0.935779817
"Stirling-Rawdon, ON",0.557956778,0.915983607
"Stone Mills, ON",0.62633452,0.921497585
"Stratford, ON",0.599823581,0.892125757
"Strathroy-Caradoc, ON",0.623709211,0.911443591
"Strong, ON",0.45,0.869565217
"Sturgeon Falls 23, ON",,
"Sucker Creek 23, ON",0.55,0.787878788
"Sudbury, ON",0.566343042,0.907630522
"Summer Beaver, ON",0.21875,0.866666667
"Sundridge, ON",0.552631579,0.865671642
"Tarbutt and Tarbutt Additional, ON",0.578947368,0.96875
"Tay Valley, ON",0.589065256,0.890151515
"Tay, ON",0.577405858,0.889507892
"Tecumseh, ON",0.713979417,0.865716753
"Tehkummah, ON",0.533333333,0.86
"Temagami, ON",0.578313253,0.791666667
"Temiskaming Shores, ON",0.585746102,0.93227991
"Terrace Bay, ON",0.536144578,0.910447761
"Thames Centre, ON",0.681219681,0.922727273
"The Archipelago, ON",0.663366337,0.917525773
"The Blue Mountains, ON",0.740944018,0.891498881
"The Dalles 38C, ON",0.352941176,0.833333333
"The Nation / La Nation, ON",0.633557047,0.949481865
"The North Shore, ON",0.5,0.909090909
"Thessalon 12, ON",0.333333333,0.818181818
"Thessalon, ON",0.423423423,0.858823529
"Thornloe, ON",1,1
"Thorold, ON",0.620854974,0.846727423
"Thunder Bay, ON",0.623087381,0.888296626
"Tillsonburg, ON",0.513904983,0.883790226
"Timiskaming, ON",0.583081571,0.906542056
"Timmins, ON",0.573402809,0.91383004
"Tiny, ON",0.63014763,0.884933775
"Toronto, ON",0.724656265,0.861497022
"Trent Hills, ON",0.562923888,0.897663175
"Trent Lakes, ON",0.59379845,0.903985507
"Tudor and Cashel, ON",0.303797468,0.830188679
"Tweed, ON",0.517298188,0.897003745
"Tyendinaga Mohawk Territory, ON",0.588679245,0.909547739
"Tyendinaga, ON",0.6,0.902892562
"Uxbridge, ON",0.686703097,0.915991471
"Val Rita-Harty, ON",0.630952381,0.8875
"Vaughan, ON",0.732551082,0.875385704
"Wabaseemoong, ON",0.153846154,0.897959184
"Wabauskang 21, ON",0.5,0.75
"Wabigoon Lake 27, ON",0.25,1
"Wahnapitei 11, ON",0.428571429,1
"Wahta Mohawk Territory, ON",,
"Wainfleet, ON",0.585635359,0.908579466
"Walpole Island 46, ON",,
"Wapekeka 2, ON",0.097560976,0.931034483
"Warwick, ON",0.568627451,0.907651715
"Wasaga Beach, ON",0.534246575,0.86127451
"Waterloo, ON",0.785060241,0.880145554
"Wawa, ON",0.614840989,0.90459364
"Wawakapewin, ON",,
"Weagamow Lake 87, ON",0.178082192,0.924242424
"Webequie, ON",0.169491525,0.945945946
"Welland, ON",0.582805907,0.850395183
"Wellesley, ON",0.495758718,0.960526316
"Wellington North, ON",0.465661642,0.939369442
"West Elgin, ON",0.53125,0.906
"West Grey, ON",0.544886807,0.922137405
"West Lincoln, ON",0.616816431,0.916978777
"West Nipissing / Nipissing Ouest, ON",0.613730929,0.90125523
"West Perth, ON",0.564732143,0.950195313
"Westport, ON",0.568965517,0.796296296
"Whitby, ON",0.719262435,0.877283182
"Whitchurch-Stouffville, ON",0.727572176,0.895357686
"White River, ON",0.455696203,0.929577465
"Whitefish Bay 32A, ON",0.383333333,0.844444444
"Whitefish Bay 33A, ON",0.272727273,0.714285714
"Whitefish Bay 34A, ON",0.333333333,0.8
"Whitefish Lake 6, ON",0.558139535,0.85
"Whitefish River 4, ON",0.574468085,0.837837838
"Whitesand, ON",0.137931034,0.866666667
"Whitestone, ON",0.495575221,0.915662651
"Whitewater Region, ON",0.625348189,0.921852388
"Wikwemikong Unceded, ON",0.528301887,0.865591398
"Wilmot, ON",0.68975469,0.932474456
"Windsor, ON",0.584197758,0.811479628
"Wollaston, ON",0.569620253,0.87037037
"Woodstock, ON",0.550371594,0.879295893
"Woolwich, ON",0.646971386,0.938356164
"Wunnumin 1, ON",0.215686275,0.952380952
"Zhiibaahaasing 19A, ON",0,1
"Zorra, ON",0.653153153,0.921212121
